# of Features: 2,,,,,,,,,,
Cluster No,Fuzzers,Exploits,Worms,Shellcode,Generic,Analysis,Backdoor,DoS,Reconnaissance,Normal
0,0,27,0,0,163,10,0,0,0,0
1,0,0,0,0,0,670,404,0,0,0
2,1001,974,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,972,1001
4,0,0,0,0,331,0,0,0,0,0
5,0,0,0,0,103,38,23,47,8,0
6,0,0,130,1001,22,0,0,0,0,0
7,0,0,0,0,0,0,267,954,21,0
8,0,0,0,0,48,283,307,0,0,0
9,0,0,0,0,334,0,0,0,0,0
,,,,,,,,,,
,,,,,,,,,,
# of Features: 3,,,,,,,,,,
Cluster No,Fuzzers,Exploits,Worms,Shellcode,Generic,Analysis,Backdoor,DoS,Reconnaissance,Normal
0,980,974,10,0,0,0,0,0,0,0
1,0,0,0,0,524,0,0,0,0,0
2,0,0,0,0,0,0,404,880,972,530
3,0,27,0,0,192,32,17,47,8,0
4,0,0,0,0,130,0,0,0,0,0
5,0,0,0,0,56,616,580,74,21,0
6,21,0,0,0,4,0,0,0,0,150
7,0,0,120,1001,20,353,0,0,0,0
8,0,0,0,0,75,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,321
,,,,,,,,,,
# of Features: 4,,,,,,,,,,
Cluster No,Fuzzers,Exploits,Worms,Shellcode,Generic,Analysis,Backdoor,DoS,Reconnaissance,Normal
0,0,0,0,0,1,0,2,0,1,375
1,0,0,0,0,567,0,0,0,0,0
2,0,0,0,976,19,651,0,0,0,0
3,0,27,0,0,182,27,17,47,8,0
4,0,0,0,0,169,0,0,0,0,0
5,1,0,0,0,56,321,324,78,21,0
6,15,0,1,25,0,2,5,0,0,134
7,21,0,0,0,7,0,0,0,0,178
8,0,0,0,0,0,0,653,876,971,314
9,964,974,129,0,0,0,0,0,0,0
,,,,,,,,,,
# of Features: 5,,,,,,,,,,
Cluster No,Fuzzers,Exploits,Worms,Shellcode,Generic,Analysis,Backdoor,DoS,Reconnaissance,Normal
0,875,951,128,952,19,0,0,0,0,0
1,23,0,0,1,116,0,0,0,0,39
2,9,27,0,0,46,28,27,47,8,201
3,0,0,0,0,294,0,0,0,0,0
4,0,0,0,0,0,452,460,662,928,230
5,0,0,0,0,0,0,0,0,0,55
6,0,0,0,0,174,0,0,0,0,0
7,0,0,0,0,335,0,0,0,0,0
8,83,23,1,23,16,519,507,292,65,184
9,11,0,1,25,1,2,7,0,0,292
,,,,,,,,,,
# of features: 6,,,,,,,,,,
Cluster No,Fuzzers,Exploits,Worms,Shellcode,Generic,Analysis,Backdoor,DoS,Reconnaissance,Normal
0,12,27,1,8,46,43,63,47,10,359
1,0,0,0,14,1,441,453,612,903,256
2,0,0,0,0,164,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,55
4,0,0,0,0,278,0,0,0,0,1
5,196,84,0,24,11,517,485,342,87,288
6,0,0,0,0,345,0,0,0,0,0
7,8,0,0,0,28,0,0,0,0,38
8,15,0,0,1,109,0,0,0,1,4
9,770,890,129,954,19,0,0,0,0,0
