# of Features: 2,,,,,,,,,,
Cluster No,Fuzzers,Exploits,Worms,Shellcode,Generic,Analysis,Backdoor,DoS,Reconnaissance,Normal
0,0,0,0,0,0,1001,0,0,0,0
1,0,1001,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,1001,0
3,0,0,0,1001,0,0,0,0,0,0
4,1001,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,1001,0,0,0
6,0,0,0,0,0,0,0,1001,0,0
7,0,0,0,0,1001,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,1001
9,0,0,130,0,0,0,0,0,0,0
,,,,,,,,,,
,,,,,,,,,,
# of Features: 3,,,,,,,,,,
Cluster No,Fuzzers,Exploits,Worms,Shellcode,Generic,Analysis,Backdoor,DoS,Reconnaissance,Normal
0,0,0,0,0,0,0,0,1001,0,0
1,0,1001,0,0,0,0,0,0,0,0
2,0,0,0,1001,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,1001
4,0,0,0,0,0,1001,0,0,0,0
5,1001,0,0,0,0,0,0,0,0,0
6,0,0,0,0,1001,0,0,0,0,0
7,0,0,0,0,0,0,1001,0,0,0
8,0,0,0,0,0,0,0,0,1001,0
9,0,0,130,0,0,0,0,0,0,0
,,,,,,,,,,
# of Features: 4,,,,,,,,,,
Cluster No,Fuzzers,Exploits,Worms,Shellcode,Generic,Analysis,Backdoor,DoS,Reconnaissance,Normal
0,0,0,0,0,0,1001,0,0,0,0
1,0,1001,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,1001,0
3,0,0,0,1001,0,0,0,0,0,0
4,0,0,0,0,0,0,0,1001,0,0
5,1001,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,1001,0,0,0
7,0,0,0,0,1001,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,1001
9,0,0,130,0,0,0,0,0,0,0
,,,,,,,,,,
# of Features: 5,,,,,,,,,,
Cluster No,Fuzzers,Exploits,Worms,Shellcode,Generic,Analysis,Backdoor,DoS,Reconnaissance,Normal
0,0,782,27,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1001,0,0,0
2,0,0,0,0,0,0,0,0,0,1001
3,0,0,0,0,1001,0,0,0,0,0
4,1001,0,0,0,0,0,0,0,0,0
5,0,0,0,1001,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,1001,0
7,0,0,0,0,0,1001,0,0,0,0
8,0,0,0,0,0,0,0,1001,0,0
9,0,219,103,0,0,0,0,0,0,0
,,,,,,,,,,
# of features: 6,,,,,,,,,,
Cluster No,Fuzzers,Exploits,Worms,Shellcode,Generic,Analysis,Backdoor,DoS,Reconnaissance,Normal
0,1001,964,110,1001,999,1001,999,995,999,960
1,0,3,8,0,0,0,0,0,0,0
2,0,1,4,0,0,0,0,0,0,0
3,0,0,5,0,0,0,0,1,0,0
4,0,6,0,0,0,0,0,1,2,0
5,0,2,0,0,0,0,0,0,0,0
6,0,24,0,0,0,0,2,3,0,41
7,0,0,0,0,2,0,0,0,0,0
8,0,1,3,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,1,0,0
